Year,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,TotalPreHarvestPop,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,AdultMaleHarvest,YearlingMaleHarvest,FawnMaleHarvest,AdultFemaleHarvest,YearlingFemaleHarvest,FawnFemaleHarvest,AdultMaleTested,YearlingMaleTested,FawnMaleTested,AdultFemaleTested,YearlingFemaleTested,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,CWDArea,MaxDistSpark,cum-trans,iteration,TotalTargetedCull,TCCWD+
1,7806,5476,7699,11505,5664,7379,45529,8,35,26,19,6,9,103,3047,1357,400,2330,818,111,304,267,15,238,168,4,19,3,1,0.003,40,0,52,0,0,0
2,7870,5493,7701,11377,5965,7189,45595,61,8,7,38,15,14,143,3240,1364,365,2230,910,129,330,253,19,246,198,11,30,6,1,0.006,51,19.6,194,0,0,0
3,7775,5551,7713,11514,5732,7448,45733,68,13,24,53,18,18,194,3105,1389,389,2348,889,148,309,278,22,243,178,8,53,7,1,0.007,60,19.6,373,0,0,0
4,7869,5494,7599,11296,5931,7177,45366,64,38,13,71,27,30,243,3116,1353,365,2303,904,117,310,266,27,231,165,6,57,7,1,0.007,86,26.8,580,0,0,0
5,7916,5603,7572,11326,5735,7284,45436,98,21,23,94,27,32,295,3192,1357,357,2280,932,144,328,294,20,220,186,5,60,8,1,0.008,91,42.1,841,0,0,0
6,7938,5399,7632,11285,5820,7070,45144,123,27,39,136,42,34,401,3101,1307,364,2279,912,137,330,293,17,222,180,5,100,11,1,0.011,114,42.1,1198,0,0,0
7,7887,5511,7424,11298,5655,7370,45145,113,50,54,151,56,60,484,3179,1311,359,2224,871,156,299,237,20,227,172,9,112,14,1,0.015,135,52,1639,0,0,0
8,7868,5321,7371,11147,5889,7212,44808,139,56,52,157,55,50,509,3123,1354,381,2217,814,166,283,268,19,231,186,7,112,14,1,0.014,157,52,2140,0,0,0
9,7745,5223,7509,11379,5767,7309,44932,198,62,55,188,74,87,664,3087,1257,392,2247,871,141,299,252,22,207,170,7,143,12,1,0.013,214,65.5,2740,0,0,0
10,7625,5331,7566,11346,5857,7269,44994,240,59,77,242,80,82,780,3006,1353,384,2353,885,143,303,278,19,244,187,7,179,27,1,0.026,251,65.5,3432,0,0,0
11,7600,5351,7428,11222,5771,7336,44708,261,94,82,282,96,112,927,3024,1350,363,2253,867,122,278,259,19,220,189,5,193,29,1,0.03,290,65.5,4314,0,0,0
12,7569,5338,7474,11277,5807,7219,44684,299,98,114,351,143,127,1132,2996,1329,384,2219,915,153,280,266,10,212,177,8,241,30,1,0.031,358,65.5,5365,0,0,0
13,7558,5315,7508,11240,5684,7211,44516,345,126,137,396,132,161,1297,3079,1319,337,2239,850,134,321,237,22,223,168,8,276,37,1,0.038,396,67.9,6590,0,0,0
14,7428,5397,7428,11066,5743,6995,44057,391,162,136,448,178,153,1468,2971,1397,371,2295,860,132,297,277,21,233,163,6,300,33,1,0.033,479,70,7957,0,0,0
15,7430,5329,7365,10913,5531,7005,43573,496,136,190,518,172,203,1715,2950,1314,362,2084,856,138,281,277,11,218,169,4,380,34,1,0.035,532,77.2,9584,0,0,0
16,7416,5186,7157,10744,5552,6825,42880,572,153,209,571,207,242,1954,3022,1262,372,2212,881,141,270,247,14,214,160,9,451,55,1,0.06,586,79.4,11396,0,0,0
17,7238,5064,7058,10485,5314,6635,41794,572,197,214,653,224,236,2096,2848,1220,326,2063,787,131,290,247,15,221,150,9,487,54,1,0.058,623,80.5,13318,0,0,0
18,7148,5021,6755,10222,5235,6569,40950,617,254,246,770,250,300,2437,2842,1247,319,1988,769,140,259,266,13,217,162,6,529,50,1,0.054,715,81.6,15620,0,0,0
19,7044,4790,6614,9976,5095,6405,39924,745,269,301,852,285,348,2800,2770,1251,349,2026,771,130,262,252,13,197,156,5,601,73,1,0.082,749,90.6,18260,0,0,0
20,6726,4611,6546,9611,4941,6203,38638,837,248,287,868,305,323,2868,2669,1120,343,1987,725,108,271,238,18,179,139,5,645,100,1,0.118,837,90.6,20984,0,0,0
21,6474,4574,6242,9318,4824,5951,37383,803,296,336,998,314,355,3102,2639,1191,330,1903,707,110,261,238,14,193,156,3,678,85,1,0.098,886,90.6,23848,0,0,0
22,6169,4274,5980,8998,4585,5822,35828,860,301,343,975,324,410,3213,2447,1065,279,1836,689,110,260,231,15,174,141,8,689,70,1,0.084,907,94.4,26823,0,0,0
23,5924,4085,5801,8625,4470,5517,34422,845,311,373,989,335,375,3228,2356,996,260,1685,694,119,237,180,16,175,149,8,705,73,1,0.095,920,94.4,29875,0,0,0
24,5627,4035,5577,8352,4227,5220,33038,823,316,364,996,352,352,3203,2168,1076,284,1721,660,97,238,212,21,182,120,5,696,92,1,0.118,905,117.2,32865,0,0,0
25,5439,3882,5200,7893,3989,4989,31392,873,325,320,1018,331,359,3226,2112,981,279,1544,616,98,228,201,7,157,125,2,701,77,1,0.107,935,117.2,35858,0,0,0
